date,team_1,team_2,team_1_goals,team_2_goals,tournament,is_team_1_home,is_team_2_home,is_neutral
19/08/1998,Slovakia,Finland,0,0,Friendly,TRUE,FALSE,FALSE
19/08/1998,Sweden,Russia,1,0,Friendly,TRUE,FALSE,FALSE
19/08/1998,Ukraine,Georgia,4,0,Friendly,TRUE,FALSE,FALSE
20/08/1998,Estonia,Moldova,0,1,Friendly,TRUE,FALSE,FALSE
23/08/1998,Burkina Faso,Togo,1,1,Friendly,TRUE,FALSE,FALSE
23/08/1998,Mauritius,Lesotho,3,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
30/08/1998,Burkina Faso,Ivory Coast,1,1,Friendly,TRUE,FALSE,FALSE
31/08/1998,Burkina Faso,Senegal,1,1,Friendly,TRUE,FALSE,FALSE
2/09/1998,Malta,Germany,1,2,Friendly,TRUE,FALSE,FALSE
2/09/1998,Morocco,Senegal,2,0,Friendly,TRUE,FALSE,FALSE
2/09/1998,Romania,Liechtenstein,7,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
2/09/1998,Serbia,Switzerland,1,1,Friendly,FALSE,FALSE,FALSE
5/09/1998,Armenia,Andorra,3,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Austria,Israel,1,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Belarus,Denmark,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Bosnia-Herzegovina,Estonia,1,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Cyprus,Spain,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Finland,Moldova,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Georgia,Albania,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Germany,Romania,1,1,Friendly,FALSE,FALSE,TRUE
5/09/1998,Iceland,France,1,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Ireland,Croatia,2,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Lithuania,Scotland,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Slovakia,Azerbaijan,3,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Sweden,England,2,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Turkey,Northern Ireland,3,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Ukraine,Russia,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/09/1998,Wales,Italy,0,2,Euro 2000 Qualifiers,FALSE,FALSE,TRUE
6/09/1998,Bulgaria,Poland,0,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/09/1998,Faroe Islands,Czech Republic,0,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/09/1998,Greece,Slovenia,2,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/09/1998,Hungary,Portugal,1,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/09/1998,Macedonia,Malta,4,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/09/1998,Norway,Latvia,1,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/09/1998,Swaziland,Ghana,0,1,Friendly,TRUE,FALSE,FALSE
6/09/1998,Togo,Benin,0,1,Friendly,TRUE,FALSE,FALSE
9/09/1998,Kuwait,Lebanon,0,0,Friendly,TRUE,FALSE,FALSE
11/09/1998,Saudi Arabia,Tanzania,8,0,Friendly,TRUE,FALSE,FALSE
12/09/1998,Syria,Oman,3,0,Friendly,TRUE,FALSE,FALSE
13/09/1998,Bahrain,Libya,2,2,Friendly,FALSE,FALSE,TRUE
13/09/1998,Kuwait,Korea DPR,4,0,Friendly,TRUE,FALSE,FALSE
14/09/1998,Saudi Arabia,Sudan,2,1,Friendly,TRUE,FALSE,FALSE
15/09/1998,Syria,Oman,0,0,Friendly,TRUE,FALSE,FALSE
16/09/1998,Egypt,Ivory Coast,0,0,Friendly,TRUE,FALSE,FALSE
16/09/1998,Qatar,Sudan,1,1,Friendly,TRUE,FALSE,FALSE
16/09/1998,United Arab Emirates,Libya,5,1,Friendly,TRUE,FALSE,FALSE
17/09/1998,Saudi Arabia,Senegal,3,2,Friendly,TRUE,FALSE,FALSE
18/09/1998,Bahrain,Syria,2,0,Friendly,TRUE,FALSE,FALSE
19/09/1998,Solomon Islands,Papua New Guinea,2,1,Friendly,TRUE,FALSE,FALSE
20/09/1998,Togo,Mali,0,1,Friendly,TRUE,FALSE,FALSE
22/09/1998,Oman,Zambia,2,0,Friendly,TRUE,FALSE,FALSE
23/09/1998,Brazil,Serbia,1,1,Friendly,TRUE,FALSE,FALSE
23/09/1998,Estonia,Egypt,2,2,Friendly,TRUE,FALSE,FALSE
23/09/1998,Spain,Russia,1,0,Friendly,TRUE,FALSE,FALSE
24/09/1998,Oman,Zambia,1,1,Friendly,TRUE,FALSE,FALSE
25/09/1998,Australia,Fiji,3,1,Oceania Nations Cup 1998,TRUE,FALSE,FALSE
25/09/1998,New Zealand,Tahiti,1,0,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
27/09/1998,Mali,Burkina Faso,1,0,Friendly,TRUE,FALSE,FALSE
28/09/1998,Australia,Cook Islands,16,0,Oceania Nations Cup 1998,TRUE,FALSE,FALSE
28/09/1998,New Zealand,Vanuatu,8,1,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
29/09/1998,Macedonia,Egypt,2,2,Friendly,TRUE,FALSE,FALSE
30/09/1998,Fiji,Cook Islands,3,0,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
30/09/1998,Tahiti,Vanuatu,5,1,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
2/10/1998,Australia,Tahiti,4,1,Oceania Nations Cup 1998,TRUE,FALSE,FALSE
2/10/1998,New Zealand,Fiji,1,0,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
3/10/1998,Bahrain,Sudan,2,3,Friendly,TRUE,FALSE,FALSE
3/10/1998,Kenya,Madagascar,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
3/10/1998,Morocco,Sierra Leone,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
3/10/1998,Namibia,Congo,0,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
3/10/1998,South Africa,Angola,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/1998,Australia,New Zealand,0,1,Oceania Nations Cup 1998,TRUE,FALSE,FALSE
4/10/1998,Burkina Faso,Nigeria,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/1998,Cameroon,Ghana,1,3,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/1998,Gabon,Mauritius,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/1998,Mali,Ivory Coast,0,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/1998,Mozambique,Eritrea,3,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/1998,Tahiti,Fiji,2,4,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
4/10/1998,Togo,Guinea,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/1998,Tunisia,Liberia,2,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/1998,Zambia,Congo DR,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Andorra,Ukraine,0,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Armenia,Iceland,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Azerbaijan,Hungary,0,4,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Bosnia-Herzegovina,Czech Republic,1,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Cyprus,Austria,0,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Denmark,Wales,1,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,England,Bulgaria,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Italy,Switzerland,2,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Latvia,Georgia,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Liechtenstein,Slovakia,0,4,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Lithuania,Faroe Islands,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Malta,Croatia,1,4,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Netherlands,Peru,2,0,Friendly,TRUE,FALSE,FALSE
10/10/1998,Northern Ireland,Finland,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Poland,Luxembourg,3,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Portugal,Romania,0,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Russia,France,2,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,San Marino,Israel,0,5,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Scotland,Estonia,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Slovenia,Norway,1,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/1998,Turkey,Germany,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
13/10/1998,Kuwait,Iran,3,0,Friendly,TRUE,FALSE,FALSE
13/10/1998,Netherlands,Ghana,0,0,Friendly,TRUE,FALSE,FALSE
14/10/1998,Brazil,Ecuador,5,1,Friendly,FALSE,FALSE,TRUE
14/10/1998,Bulgaria,Sweden,0,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Croatia,Macedonia,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Czech Republic,Estonia,4,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,France,Andorra,2,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Greece,Georgia,3,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Hungary,Romania,1,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Iceland,Russia,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Ireland,Malta,5,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Israel,Spain,1,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Liechtenstein,Azerbaijan,2,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Lithuania,Bosnia-Herzegovina,4,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Luxembourg,England,0,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Moldova,Germany,1,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Norway,Albania,2,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,San Marino,Austria,1,4,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Scotland,Faroe Islands,2,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Slovakia,Portugal,0,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Slovenia,Latvia,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Switzerland,Denmark,1,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Turkey,Finland,1,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Ukraine,Armenia,2,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/1998,Wales,Belarus,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
17/10/1998,Qatar,Burkina Faso,2,2,Friendly,TRUE,FALSE,FALSE
19/10/1998,Oman,Burkina Faso,4,2,Friendly,TRUE,FALSE,FALSE
21/10/1998,Oman,Burkina Faso,0,0,Friendly,TRUE,FALSE,FALSE
23/10/1998,Bahrain,Burkina Faso,2,1,Friendly,TRUE,FALSE,FALSE
28/10/1998,Japan,Egypt,1,0,Friendly,TRUE,FALSE,FALSE
4/11/1998,Bulgaria,Algeria,0,0,Friendly,TRUE,FALSE,FALSE
6/11/1998,USA,Australia,0,0,Friendly,TRUE,FALSE,FALSE
7/11/1998,Tunisia,Zimbabwe,1,1,Friendly,TRUE,FALSE,FALSE
10/11/1998,Slovakia,Poland,1,3,Friendly,TRUE,FALSE,FALSE
10/11/1998,Tunisia,Latvia,3,0,Friendly,TRUE,FALSE,FALSE
15/11/1998,Sri Lanka,Maldives,2,2,Friendly,TRUE,FALSE,FALSE
16/11/1998,India,Uzbekistan,0,0,Friendly,TRUE,FALSE,FALSE
17/11/1998,El Salvador,Mexico,0,2,Friendly,FALSE,FALSE,TRUE
17/11/1998,Guatemala,Honduras,3,3,Friendly,FALSE,FALSE,TRUE
18/11/1998,Albania,Greece,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
18/11/1998,Brazil,Russia,5,1,Friendly,TRUE,FALSE,FALSE
18/11/1998,Egypt,Norway,1,1,Friendly,TRUE,FALSE,FALSE
18/11/1998,El Salvador,Honduras,1,2,Friendly,FALSE,FALSE,TRUE
18/11/1998,England,Czech Republic,2,0,Friendly,TRUE,FALSE,FALSE
18/11/1998,Georgia,Estonia,3,1,Friendly,TRUE,FALSE,FALSE
18/11/1998,Germany,Netherlands,1,1,Friendly,TRUE,FALSE,FALSE
18/11/1998,Guatemala,Mexico,2,2,Friendly,FALSE,FALSE,TRUE
18/11/1998,Hungary,Switzerland,2,0,Friendly,TRUE,FALSE,FALSE
18/11/1998,Italy,Spain,2,2,Friendly,TRUE,FALSE,FALSE
18/11/1998,Luxembourg,Belgium,0,0,Friendly,TRUE,FALSE,FALSE
18/11/1998,Malta,Macedonia,1,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
18/11/1998,Northern Ireland,Moldova,2,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
18/11/1998,Portugal,Israel,2,0,Friendly,TRUE,FALSE,FALSE
18/11/1998,San Marino,Cyprus,0,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
18/11/1998,Serbia,Ireland,1,0,Euro 2000 Qualifiers,FALSE,FALSE,FALSE
19/11/1998,Hong Kong,Vietnam,1,1,Friendly,TRUE,FALSE,FALSE
19/11/1998,India,Uzbekistan,0,4,Friendly,TRUE,FALSE,FALSE
21/11/1998,Armenia,Estonia,2,1,Friendly,TRUE,FALSE,FALSE
21/11/1998,Thailand,Turkmenistan,3,3,Friendly,TRUE,FALSE,FALSE
22/11/1998,China,Korea Republic,0,0,Friendly,TRUE,FALSE,FALSE
25/11/1998,Singapore,United Arab Emirates,0,4,Friendly,TRUE,FALSE,FALSE
27/11/1998,Thailand,Nepal,2,0,Friendly,TRUE,FALSE,FALSE
28/11/1998,Azerbaijan,Estonia,2,1,Friendly,TRUE,FALSE,FALSE
2/12/1998,United Arab Emirates,Korea DPR,3,3,Friendly,FALSE,FALSE,TRUE
3/12/1998,Mali,Ghana,0,2,Friendly,TRUE,FALSE,FALSE
6/12/1998,British Virgin Islands,St. Vincent and the Grenadines,0,5,Friendly,TRUE,FALSE,FALSE
13/12/1998,Burundi,Senegal,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/12/1998,South Africa,Egypt,2,1,Friendly,TRUE,FALSE,FALSE
23/12/1998,Israel,Serbia,2,0,Friendly,TRUE,FALSE,FALSE
27/12/1998,Kuwait,Egypt,1,1,Friendly,TRUE,FALSE,FALSE
3/01/1999,Ivory Coast,Togo,3,1,Friendly,TRUE,FALSE,FALSE
4/01/1999,Burkina Faso,Gabon,2,1,Friendly,TRUE,FALSE,FALSE
10/01/1999,Burkina Faso,Mali,1,0,Friendly,TRUE,FALSE,FALSE
10/01/1999,Senegal,Guinea,1,0,Friendly,TRUE,FALSE,FALSE
12/01/1999,Bermuda,Antigua and Barbuda,1,0,Friendly,TRUE,FALSE,FALSE
13/01/1999,Senegal,Guinea,1,0,Friendly,TRUE,FALSE,FALSE
14/01/1999,Bermuda,Antigua and Barbuda,0,1,Friendly,TRUE,FALSE,FALSE
15/01/1999,Burkina Faso,Mali,4,1,Friendly,TRUE,FALSE,FALSE
18/01/1999,Israel,Estonia,7,0,Friendly,TRUE,FALSE,FALSE
20/01/1999,France,Morocco,1,0,Friendly,TRUE,FALSE,FALSE
20/01/1999,Israel,Norway,0,1,Friendly,TRUE,FALSE,FALSE
22/01/1999,Estonia,Norway,3,3,Friendly,FALSE,FALSE,TRUE
23/01/1999,Eritrea,Cameroon,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
23/01/1999,Mauritius,South Africa,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
23/01/1999,Nigeria,Burundi,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
23/01/1999,Senegal,Burkina Faso,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
23/01/1999,Zimbabwe,Malawi,3,0,Friendly,TRUE,FALSE,FALSE
24/01/1999,Angola,Gabon,3,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/01/1999,Bolivia,USA,0,0,Friendly,TRUE,FALSE,FALSE
24/01/1999,Congo,Mali,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/01/1999,Congo DR,Kenya,2,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/01/1999,Ghana,Mozambique,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/01/1999,Guinea,Morocco,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/01/1999,Ivory Coast,Namibia,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/01/1999,Liberia,Uganda,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/01/1999,Madagascar,Zambia,1,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/01/1999,Zimbabwe,Malawi,1,0,Friendly,TRUE,FALSE,FALSE
27/01/1999,Malta,Bosnia-Herzegovina,2,1,Friendly,TRUE,FALSE,FALSE
28/01/1999,Costa Rica,Ecuador,0,0,Friendly,TRUE,FALSE,FALSE
29/01/1999,Vietnam,Singapore,1,0,Friendly,TRUE,FALSE,FALSE
31/01/1999,Ethiopia,Kenya,2,2,Friendly,TRUE,FALSE,FALSE
3/02/1999,Malta,Poland,0,1,Friendly,TRUE,FALSE,FALSE
3/02/1999,Venezuela,Argentina,0,2,Friendly,TRUE,FALSE,FALSE
6/02/1999,Slovenia,Switzerland,0,2,Friendly,FALSE,FALSE,TRUE
6/02/1999,USA,Germany,3,0,Friendly,TRUE,FALSE,FALSE
8/02/1999,Oman,Slovenia,0,7,Friendly,TRUE,FALSE,FALSE
9/02/1999,Belgium,Czech Republic,0,1,Friendly,TRUE,FALSE,FALSE
9/02/1999,Colombia,Germany,3,3,Friendly,FALSE,FALSE,TRUE
9/02/1999,Israel,Belarus,2,1,Friendly,TRUE,FALSE,FALSE
10/02/1999,Albania,Macedonia,2,0,Friendly,TRUE,FALSE,FALSE
10/02/1999,Croatia,Denmark,0,1,Friendly,TRUE,FALSE,FALSE
10/02/1999,Cyprus,San Marino,4,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/02/1999,England,France,0,2,Friendly,TRUE,FALSE,FALSE
10/02/1999,Finland,Poland,1,1,Friendly,FALSE,FALSE,TRUE
10/02/1999,Ireland,Paraguay,2,0,Friendly,TRUE,FALSE,FALSE
10/02/1999,Italy,Norway,0,0,Friendly,TRUE,FALSE,FALSE
10/02/1999,Jamaica,Costa Rica,1,1,Friendly,TRUE,FALSE,FALSE
10/02/1999,Malta,Serbia,0,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/02/1999,Mexico,Argentina,0,1,Friendly,FALSE,FALSE,TRUE
10/02/1999,Oman,Switzerland,1,2,Friendly,TRUE,FALSE,FALSE
10/02/1999,Peru,Ecuador,1,2,Friendly,TRUE,FALSE,FALSE
10/02/1999,Portugal,Netherlands,0,0,Friendly,FALSE,FALSE,TRUE
10/02/1999,Tunisia,Sweden,0,1,Friendly,TRUE,FALSE,FALSE
13/02/1999,St. Lucia,Antigua and Barbuda,0,0,Friendly,TRUE,FALSE,FALSE
15/02/1999,Kuwait,Iran,1,2,Friendly,TRUE,FALSE,FALSE
17/02/1999,Ecuador,Peru,1,2,Friendly,TRUE,FALSE,FALSE
17/02/1999,Guatemala,Chile,1,1,Friendly,TRUE,FALSE,FALSE
20/02/1999,Gabon,Burkina Faso,1,1,Friendly,TRUE,FALSE,FALSE
20/02/1999,Zimbabwe,Zambia,1,1,Friendly,TRUE,FALSE,FALSE
21/02/1999,USA,Chile,2,1,Friendly,TRUE,FALSE,FALSE
22/02/1999,Suriname,Guyana,2,1,Friendly,TRUE,FALSE,FALSE
24/02/1999,Costa Rica,Jamaica,9,0,Friendly,TRUE,FALSE,FALSE
24/02/1999,Israel,Latvia,2,0,Friendly,TRUE,FALSE,FALSE
24/02/1999,St. Lucia,Grenada,1,2,Friendly,TRUE,FALSE,FALSE
27/02/1999,South Africa,Gabon,4,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/02/1999,Angola,Mauritius,0,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/02/1999,British Virgin Islands,Antigua and Barbuda,0,2,Friendly,TRUE,FALSE,FALSE
28/02/1999,Burundi,Burkina Faso,1,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/02/1999,Cameroon,Mozambique,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/02/1999,Congo,Ivory Coast,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/02/1999,Ghana,Eritrea,5,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
